label,type,V2018,V2022,V2026,options_2018,options_2022,options_2026,comparable,source_2018_2022,source_2022_2026
"Aanlyn bediening: Gemeentes het nuwe maniere gevind, om wat eers in persoon gedoen is, nou ook aanlyn te doen. Dui asb. aan wat die gemeente nou ook aanlyn doen. Kommissie en/of kerkraad vergaderings",,,V207,,,4,,single-wave,,
"Aanlyn bediening: Gemeentes het nuwe maniere gevind, om wat eers in persoon gedoen is, nou ook aanlyn te doen. Dui asb. aan wat die gemeente nou ook aanlyn doen. Aanlyn pastorale sorg",,,V208,,,4,,single-wave,,
"Aanlyn bediening: Gemeentes het nuwe maniere gevind, om wat eers in persoon gedoen is, nou ook aanlyn te doen. Dui asb. aan wat die gemeente nou ook aanlyn doen. Ander",,,V209,,,4,,single-wave,,
"Aanlyn bediening: Gemeentes het nuwe maniere gevind, om wat eers in persoon gedoen is, nou ook aanlyn te doen. Dui asb. aan wat die gemeente nou ook aanlyn doen. Beskryf ander",,,V210,,,,,single-wave,,
Word die gemeente se eredienste op die internet opgelaai? Ja 1 Nee 2 5.9 Word die gemeente se eredienste op die internet opgelaai?,,,V211,V154,,2,,scale-changed,,block+order
"Het die gemeente ’n spesifieke proses om met die persone wat die erediens van buite die kerkgebou volg, kontak te maak (bv. stuur van ’n boodskap of om kontakbesonderhede te verkry)?",,,V212,V155,,2,,scale-changed,,block+order
Ons soek nuwe mense op wat in die gemeenskap intrek,4opsies4,,V245,V188,,4,3,scale-changed,,block+order
Ons gemeente probeer om op die volgende maniere ŉ ekologiese sensitiwiteit te demonstreer: Ja Nee Ons gemeente is aktief betrokke by herwinning,,,V264,V207,,2,2,yes,,block+text
Watter van die volgende persone of groepe is almal betrokke by die leiding en organisering van die jeugbediening ... Altyd Gereeld Soms Nooit diensleraar (gelegitmeer),,,V324,V260,,4,3,scale-changed,,block+order
Watter van die volgende persone of groepe is almal betrokke by die leiding en organisering van die jeugbediening ... Altyd Gereeld Soms Nooit Kollege),,,V325,V261,,,3,scale-changed,,block+order
Watter van die volgende persone of groepe is almal betrokke by die leiding en organisering van die jeugbediening ... Altyd Gereeld Soms Nooit ander gemeentes of die ring,,,V326,V262,,4,3,scale-changed,,block+order
Ons bevorder die uitleef van geloof by die huis deur Altyd Gereeld Soms Nooit daaroor te praat en te preek (lering in erediens) 1 2 3 4,,,V333,V269,,,,numeric,,block+order
Ons bevorder die uitleef van geloof by die huis deur Altyd Gereeld Soms Nooit daaroor te praat en te preek (lering in erediens) 1 2 3 4 tydens eredienste,,,V334,V270,,,,numeric,,block+order
Ons bevorder die uitleef van geloof by die huis deur Altyd Gereeld Soms Nooit daaroor te praat en te preek (lering in erediens) 1 2 3 4,,,V335,V271,,,3,scale-changed,,block+order
Ons bevorder die uitleef van geloof by die huis deur Altyd Gereeld Soms Nooit daaroor te praat en te preek (lering in erediens) 1 2 3 4 familiefokus tydens gemeenteaktiwiteite,,,V336,V272,,4,3,scale-changed,,block+order
Ons bevorder die uitleef van geloof by die huis deur Altyd Gereeld Soms Nooit daaroor te praat en te preek (lering in erediens) 1 2 3 4 (huisgeloof),,,V337,V273,,,,numeric,,block+order
Ons bevorder die uitleef van geloof by die huis deur Altyd Gereeld Soms Nooit daaroor te praat en te preek (lering in erediens) 1 2 3 4 waar geloofsvorming kan plaasvind,,,V338,V274,,,,numeric,,block+order
Het u diensooreenkomste met mense wat sonder betaling in die gemeente werk? Ja Nee Jeugwerker (spesifiseer),,,V86b,,,,,single-wave,,
"Hoeveel lidmate is, sover u weet, 80 jaar of ouer?",,,,V07,,,,single-wave,,
Dui aan hoeveel voltydse predikantsposte (vir beroeping en bevestiging) daar tans in die gemeente is ... tans gevul,,,,V09,,,,single-wave,,
Dui aan hoeveel voltydse predikantsposte (vir beroeping en bevestiging) daar tans in die gemeente is ... tans vakant,,,,V10,,,,single-wave,,
Dui aan hoeveel voltydse predikantsposte (vir beroeping en bevestiging) daar tans in die gemeente is ... in 2022-2025 verander na 'n 'verkleinde' pos,,,,V11,,,,single-wave,,
Dui aan hoeveel voltydse predikantsposte (vir beroeping en bevestiging) daar tans in die gemeente is ... in 2022-2025 afgeskaf/gesluit,,,,V12,,,,single-wave,,
Dui aan hoeveel voltydse predikantsposte (vir beroeping en bevestiging) daar tans in die gemeente is in 2022-2025 geskep,,,,V13,,,,single-wave,,
Hoeveel predikantsposte word gevul deur ... konsulent (Gemeente is sonder 'n leraar en die konsulent van die Ring help uit),,,,V23,,,,single-wave,,
Hoeveel predikantsposte word gevul deur ... emeritus (70 jaar of jonger),,,,V24,,,,single-wave,,
Hoeveel vrywillige dienswerkers (bv. kleingroepleiers en projekleiers) het u tans in die gemeente?,,,,V41,,,,single-wave,,
Gewone erediens,,,,V80,,,6,single-wave,,
Gesins- of familiediens,,,,V81,,,,single-wave,,
Aparte diens vir senior burgers,,,,V82,,,,single-wave,,
Aparte Jeugdiens,,,,V83,,,6,single-wave,,
Aparte Kinderdiens,,,,V84,,,6,single-wave,,
Aparte Kleuterdiens,,,,V85,,,6,single-wave,,
Andertalige erediensdiens,,,,V86,,,6,single-wave,,
"simbole wat by die kerkjaar aansluit, word gebruik",,,,V103,,,,single-wave,,
Gewone erediens,,,,V109,,,5,single-wave,,
Samewerking met 'n buurgemeente(s),,,,V119,,,2,single-wave,,
Samesmelting of eenwording met 'n buurgemeente(s),,,,V120,,,2,single-wave,,
'n Eenheidskerkraad saam met VGKSA of NHKA gemeente(s) in terme van die Tussenorde,,,,V121,,,,single-wave,,
"Goedkoper predikantpos (bv emeritus- of termynbepaalde kontrakpos, diensleraar)",,,,V122,,,,single-wave,,
Ontwikkeling van entrepreneuriese fondsinsameling,,,,V123,,,2,single-wave,,
Vermindering van ander personeeluitgawes/poste,,,,V124,,,2,single-wave,,
Heraanwending van geboue (bv. verhuring),,,,V125,,,2,single-wave,,
Rentmeesterskap program om bydraes te verhoog,,,,V126,,,2,single-wave,,
Evangelisasie en gemeente groei strategie,,,,V127,,,2,single-wave,,
Word sms?e of WhatsApp gebruik om met gemeentelede as ? groep te kommunikeer?,,,,V136,,,,single-wave,,
Word Kunsmatige Intellegensie (AI) in die gemeentelike administrasie en bediening gebruik?,,,,V138,,,,single-wave,,
Nuus vanaf Sinode of Algemene Sinode,,,,V147,,,2,single-wave,,
Bybelstudie- en/of kleingroepe,,,,V148,,,4,single-wave,,
Bediening aan Laerskool leerders,,,,V149,,,4,single-wave,,
Tiener en/of jong volwasse bediening,,,,V150,,,4,single-wave,,
Komitee en/of bediening vergaderings,,,,V151,,,4,single-wave,,
"Kommissie, bediening en/of kerkraad vergaderings",,,,V152,,,,single-wave,,
Aanlyn pastorale sorg,,,,V153,,,4,single-wave,,
Nie-winsgewende organisasie: Die gemeente het ?n geregistreerde nie-winsgewende organisasie wat direk aan die bediening van die gemeente gekoppel is,,,,V177,,,,single-wave,,
Ouderlinge,,,,V294,,,2,single-wave,,
Diakens,,,,V295,,,2,single-wave,,
"Die dienste is nie aan die gemeente beskikbaar nie, a.g.v. die gemeente se ligging",,,,V306,,,,single-wave,,
enkelouer gesinne,,,,V311,,,3,single-wave,,
ouer mense (bejaardes),,,,V317,,,3,single-wave,,
Netwerke: Die gemeente is deel van die RESPOND SA nasionale rampondersteuningsnetwerk wat deur die NG Kerk geïnisieer is en tans ekumenies deur die onderskeie sinodes funksioneer,,,,V319,,,,single-wave,,
Neem u gemeente aan die ekumeniese gesprekgroepe ('fraternals/ pastors forum') deel?,,,,V328,,,2,single-wave,,
Enige kommentaar of voorstelle oor die vraelys?,,,,V329,,,,single-wave,,
Voorsitter van die kerkraad,,,,V330,,,2,single-wave,,
Dagbestuur of lede van die dagbestuur,,,,V331,,,2,single-wave,,
Predikant(e),,,,V332,,,2,single-wave,,
'n Aangewysde taakspan op komitee,,,,V333,,,2,single-wave,,
Administratiewe personeel,,,,V334,,,2,single-wave,,
Leiers van bedieninge,,,,V335,,,2,single-wave,,
'n Lidmaat,,,,V336,,,2,single-wave,,
Iemand anders,,,,V337,,,2,single-wave,,
